formula,Density Score,Peak Score
SrLi4N2,2.536,2.249
LiB,2.267,1.972
LiLuPt2,2.234,0.585
Ca3Au,2.113,-0.167
Er2ZnRu,1.976,-0.405
LiErGe,1.958,0.869
Li3Au,1.944,0.409
Rb3Mg,1.846,0.313
Li7Sn2,1.818,0.432
Sr6Sn2NO,1.724,0.422
Yb2AgSn,1.714,0.135
HoTmMg2,1.712,-0.019
Yb2SbAu,1.679,0.137
Sm2AgSn,1.657,-0.444
Nd2CdIn,1.643,-0.344
LiTmIn2,1.627,0.223
CaSmZn2,1.620,-0.241
Pr2ZnHg,1.557,-0.516
Sr3MnN3,1.470,0.595
Ca3BiSb,1.447,-0.461
LiTmHg2,1.342,-0.869
NdTmTl2,1.308,-0.778
Li4UO5,1.203,0.360
LiAlPt2,0.563,1.277
TmHfRu2,0.560,-0.473
MgS,0.524,0.911
CuAs,0.504,1.511
Ca2MnO4,0.501,1.984
MnAlRh2,0.496,0.381
TbGaRh2,0.469,1.126
SF6,0.443,1.211
BeGaRh2,0.408,0.145
ScNbOs2,0.384,-0.105
Cs2CrCl4,0.320,1.411
Al(SnO2)2,0.289,0.869
Sc2CoRu,0.279,-0.419
MnSbPd2,0.229,0.030
MgSiN2,0.221,0.278
LiZnAu2,0.217,0.603
CaCu2O3,0.209,1.234
CeNiC2,0.180,0.743
Ga2CoS4,0.179,0.136
CrGaP2,0.158,0.226
CrPO4,0.131,0.472
Ti2GaC,0.130,0.847
Cr2FeS4,0.130,0.646
CaPd3O4,0.130,0.730
Rb2Cr(BrCl)2,0.096,1.010
U2CrN3,0.079,0.022
ThSiO4,0.005,0.481
Mn3O4,-0.005,-0.514
Ho2CF2,-0.055,0.331
ErB2Rh2C,-0.094,-0.265
CeIr2,-0.129,-1.417
Sm2Zr2O7,-0.134,1.043
Na2Hf2O5,-0.181,0.442
ZrH3,-0.184,0.464
Ho2Cr2C3,-0.187,-0.190
Sc2CdAg,-0.189,-1.588
Hf4N3,-0.195,-0.221
DyIr3,-0.211,-1.149
P2Pb2O7,-0.213,0.019
YNiSb,-0.267,0.475
Cs2RbInF6,-0.294,0.406
SmMn2O5,-0.299,-0.830
DyCuSeO,-0.334,-0.986
P3N5,-0.334,-0.610
TbNi2,-0.345,-0.431
ErCdCu4,-0.372,-0.216
Nd(CoSi)2,-0.386,-0.148
Fe3Sn2,-0.387,-0.499
Ho(SiRu)2,-0.389,-0.496
Pr(CoSi)2,-0.405,-0.225
K2SnCl6,-0.436,0.919
BaTe2,-0.461,0.096
YMg2,-0.486,0.284
RbSbO3,-0.498,0.707
Mg(BeN)2,-0.507,-1.476
AsPdSe,-0.516,-0.518
Fe2W,-0.524,-1.963
Cs2PbCl6,-0.527,0.724
LaCu2,-0.535,-0.408
HfPbO3,-0.536,-1.607
Ni2Ge,-0.543,-1.031
TiBiRh,-0.545,-1.280
BaTiS3,-0.557,-0.409
Sr(ZnGe)2,-0.565,0.086
ZrGeTe,-0.566,-0.484
TaNiGe,-0.571,-1.480
NdBPd3,-0.596,-1.356
Ba(CdAs)2,-0.696,-0.542
In2Se3,-0.717,-1.911
Cu3P,-0.752,-1.756
ZnCo3C,-0.812,-2.081
Sc3AlC,-0.842,-1.556
CdCl2,-0.864,-1.708
HoCd3,-0.873,-1.239
TbCd3,-0.886,-1.245
V2C,-0.908,-1.434
Sc,-0.977,-3.473
