,system_type,hex_Aude,hex_code_rainbow
0,RM,#005f73,#770dff
1,DISARM,#016678,#6f19ff
2,Dnd,#036e7d,#6726fe
3,SspBCDE,#057783,#5f32fe
4,Nhi,#067e88,#583efd
5,BREX,#07868d,#504afc
6,Gao_Ape,#098f93,#4756fb
7,Gao_Her,#129798,#3e65fa
8,Gao_Hhe,#26a09e,#3670f8
9,Gao_Mza,#3eaba5,#2e7bf7
10,Gao_Ppl,#51b4aa,#2686f5
11,Gao_Qat,#65bdb0,#1e91f3
12,Gao_RL,#7dc8b7,#159bf2
13,Gao_TerY,#91d1bc,#0ea5ef
14,Gao_Tmn,#9ed3ba,#06aeed
15,Gao_Upx,#add4b6,#04b9ea
16,AVAST,#b9d5b3,#0dc2e8
17,DRT,#c5d5b0,#14cae5
18,IetAS,#d4d7ac,#1dd1e2
19,Dsr,#e0d7a8,#25d8df
20,Cas,#e9d6a0,#2cdedc
21,NixI,#eacb83,#34e4d9
22,Rst_2TM_1TM_TIR,#ebc26b,#3dead5
23,Rst_3HP,#ebba54,#46efd1
24,Rst_DUF4238,#ecaf37,#4ef3cd
25,Rst_DprA-PPRT,#eda61f,#56f7ca
26,Rst_HelicaseDUF2290,#ee9e08,#5ffac6
27,Rst_Hydrolase-3Tm,#e99400,#66fcc2
28,Rst_Old_Tin,#e48d01,#6efebe
29,Rst_RT-nitrilase-Tm,#df8601,#77ffb9
30,Rst_TIR-NLR,#d97c01,#81ffb4
31,Rst_gop_beta_cll,#d47501,#88ffaf
32,Viperin,#cf6e02,#90feab
33,dCTPdeaminase,#c96502,#99fca6
34,dGTPase,#c75f02,#a0faa1
35,RADAR,#c55902,#a8f79c
36,NhiDruantia,#c25203,#b1f397
37,Gabija,#c04c03,#b9ef92
38,Hachiman,#be4703,#c3ea8c
39,Kiwa,#bc3f03,#cbe486
40,Lamassu,#ba3b05,#d3de81
41,Septu,#b83707,#dad87b
42,Shedu,#b53109,#e2d176
43,Wadjet,#b42d0b,#ebca70
44,Zorya,#b2290e,#f2c26b
45,BstA,#b02410,#fbb965
46,CBASS,#ae2012,#ffae5e
47,DarTG,#ab2015,#ffa558
48,GasderMIN,#a82119,#ff9b52
49,Lit,#a5211c,#ff914c
50,Pif,#a2211e,#ff8646
51,Rst_PARIS,#9f2222,#ff7b40
52,Stk2,#9c2225,#ff703a
53,Thoeris,#a2262c,#ff6533
54,Retron,#af2f39,#ff562c
55,RexAB,#bb3644,#ff4a26
56,AbiEii,#c63d4e,#ff3e1f
57,Abi2,#d4455b,#ff3219
58,AbiH,#df4c66,#ff2613
59,PrrC,#ea5370,#ff190d
60,Stk2,,#ff0d06
